words,sentiment_coeff
fair,-9.513644742300444
le,-9.528923855504171
vaccin,-7.070397987709132
tout,-8.781958806467513
plus,-9.184586261610221
aller,-15.405681267761594
franc,-10.995135291502878
vous,-12.985311224884093
visag,1.9027877338335506
pr,-9.166602202339023
pouvoir,-13.594920723534113
sident,-9.810177561247173
fran,-8.796233255596205
et,-21.092442985983983
macron,-10.80843418346077
ce,-11.735663234857228
dir,-11.98239791441764
il,-16.012970030795973
bien,-15.441516913539598
pour,-13.866483230003203
tre,-11.262329156530303
non,-14.744492011236195
comm,-20.269521466475307
pass,-11.797537888643895
vouloir,-16.75732484299838
pay,-11.508891744335502
ai,-9.82399790724354
si,-11.30618769006904
on,-17.87172361665576
rien,-14.690103704531817
je,-15.114598870315737
voir,-17.139638292425758
falloir,-18.002086211194396
emmerd,-16.87981248527398
europ,-14.94167891644785
un,-19.310732232647794
an,-17.47136431906945
larm,1.2461837147520944
sol,1.2321708608804272
quand,-16.95346702883818
re,-19.083401354150176
mond,-17.068372387181036
parl,-22.630979801093076
merc,-17.577621592965855
r,-19.656177424672673
san,-16.96140717709131
bon,-23.91425248559768
devoir,-14.989234498190468
auss,-23.568196910088524
en,-18.81251178365655
droit,-12.294356559430513
alor,-15.577831930942855
tu,-25.336426866246097
vrai,-22.518261167533062
autr,-13.189908090254386
encor,-17.528508043863766
arr,-11.806748744446782
prendr,-18.29622955739316
savoir,-23.278857578670326
monsieur,-15.059825323098167
quel,-30.891583862794217
pens,-18.688660823546396
contr,-13.525728488268353
mettr,-20.922200627879565
person,-3.92584344590113
fin,-19.599763598826332
mais,-22.915885683401473
avoir,-18.473860585381754
quoi,-24.492728957768524
tr,-21.56390787146521
celui,-15.817995393522475
sort,-20.619791920176652
part,-23.35200082966069
pet,-14.118364069716433
seul,-16.278121039972003
grand,-22.08372727110812
jam,-25.448241805197473
oui,-23.5405871084433
peupl,-14.965197369591634
tat,-7.452019119502289
joievisag,1.282508918626582
ver,1.4040245569328886
covid,-14.242674961250168
depuis,-15.652238269521607
ter,-19.130305134892783
cel,-18.618623276074786
temp,-18.40502905272662
nous,-17.92132234454341
de,-16.172818569025576
public,-20.40712233435319
dos,-14.554412206450305
polit,-9.197085186028497
vi,-17.120283499982573
manu,-18.05183165001009
car,-19.091003342704767
jour,-23.913196314897615
toujour,-21.850081163672204
ais,-13.74499956798103
donc,-22.671538875007855
mr,-18.82200407146885
pourquoi,-28.535799715176946
don,-8.678264487166707
cr,-21.942996425663743
riantroul,1.2638596984013015
roul,1.625564952007864
vot,-23.62104183498023
gen,-18.975941864578637
fait,-29.434179625066665
hont,-23.42385568975818
apr,-25.707527693684632
cris,-3.9129142196947315
ferm,-15.615403859614506
jeun,-15.435905804993206
gag,-24.76895780419126
oeil,-2.3680782959244433
mois,-27.897094526977508
ven,-17.112979646968558
gouvern,-6.979055781236821
comment,-21.651234002120432
joi,1.507117793395183
croir,-23.417420590767616
avant,-28.74149585035584
malad,-23.09939633086539
laiss,-15.372472987708019
mal,-20.835404990737775
compt,-21.59443083505278
trop,-21.56398646741557
vaccinal,-14.01428725749029
libert,-16.966393274948338
con,-22.657925801583808
rest,-25.268532328799303
moin,-20.77298332235109
ni,-15.959049267112304
combien,-25.0626254236962
continu,-21.27899407137263
peu,-21.5350569292838
aucun,-10.587480798214477
lir,-20.388130940877396
plac,-20.72947217505367
chos,-26.991144965940826
mot,-31.04362371075911
quelqu,-21.415596640643372
sent,-19.259061381779652
campagn,-23.752261606962595
deven,-17.13964363997036
mainten,-24.293233524135598
just,-18.542011344378118
lection,-20.16676391347268
citoyen,-32.032728791741555
tair,-24.472747805982877
histoir,-24.25615338234037
million,-24.021075921404744
fou,-22.763226258159445
sous,-22.95502905756973
pauvr,-19.405014849141192
pas,-20.41449759066942
oubli,-30.12304098629785
sourir,2.0920920354152366
enfant,-20.232674668159564
mieux,-34.00845075822252
esp,-24.451126843486392
surtout,-21.541828475057915
aim,-20.687914680139126
virus,-15.68290646041723
cas,-22.02071941825606
pai,-21.38839433416308
nouveau,-23.14392910293059
ca,-32.400488865290754
viv,-34.67749788404765
tel,-32.88574072488104
que,-23.789412159970333
fois,-32.351188093995894
rir,-4.059971111857452
arriv,-30.00482383571217
ri,1.5820072291499814
chang,-24.847158357692926
rendr,-24.109885626364523
point,2.3364420896003684
rer,-17.914936965625536
russ,-22.637210683105412
march,-14.569240434403781
votr,-15.350171956185772
foutr,-23.598104753713834
ann,-32.96006481575259
emploi,-15.121752009726166
afriqu,-20.938970285843215
homm,-21.19687079293602
leur,-17.794861333615927
chez,-30.77093410502251
main,-8.287861395307552
pend,-27.531089064752123
avril,-27.14997679010834
er,-22.156227774043057
tant,-22.818652273605693
certain,-25.27687424174723
tweet,-14.101235513212444
merd,-19.25772674165782
guerr,-21.01768723775998
bas,2.7381984432766595
ch,-28.86789407965066
int,-16.51574127038543
bravo,-7.608241095237994
entrepris,-24.89931853278935
mensong,-26.069612260900556
serv,-22.2773794266977
cher,-24.163775150289585
gal,-21.40947973216939
sanitair,-5.671590765961564
vit,-32.57963429709092
attendr,-23.539541840911802
aujourd,-15.590620793460467
mi,-4.914018775033828
beaucoup,-23.3306977617542
gueul,-20.58104509697845
aid,-22.097445285581042
coup,-34.173167013343516
ah,-21.247278189839562
col,-21.63841918095668
argent,-24.101876612793234
deux,-32.48066679491889
v,-13.820553611164415
demand,-24.203654971478645
bouch,-2.8499539497551942
mec,-28.987539012756972
lui,-27.59498747380321
regard,-29.907628410015768
avec,-17.611067683072495
moyen,-5.150189486483214
souri,-1.6543839799947397
perdr,-22.741202066602877
parc,-23.769985101634845
mocrat,-18.46966864845441
ment,-19.084073591011784
hui,-16.421915902209616
commenc,-26.176732584608963
prot,-18.455552483159117
entre,-23.71280125504949
tudi,-26.511972401277088
mort,-21.464086223899162
battr,-15.739314641993824
pfiz,-27.183179277111968
bi,-22.929786302759698
t,-19.96128349504221
gr,-22.43919320196094
comprendr,-23.990959979693248
gros,-24.170371825637744
peur,-12.614617765156819
sign,-2.038386541443902
cout,-38.07194670706727
ouvert,-2.82549435816195
besoin,-26.216389345052697
form,-13.761497462703321
par,-36.97024043462665
raison,-31.8720722204818
sinon,-31.10431280156717
bel,-25.349741770195077
être,-25.880501914620677
moment,-19.924864745092044
inject,-30.100944455374545
clair,-5.510641267572014
dont,-20.574808154222563
servic,-29.830714370871462
rit,-29.568086053325842
haut,2.6207492809876385
loi,-23.707326888685518
sen,-5.013387074640753
discour,-32.07185814645581
import,-27.0100241048008
trouv,-32.875921017471704
ton,-37.92826065819974
tement,-28.431669015190174
caus,-24.31932279692452
respect,-21.068200533648984
soign,-23.863467173512248
fi,-22.51347850585506
erasmu,-20.542960619254455
au,-21.051147478841756
sant,-19.43535917866502
front,-17.625858122330335
mol,-16.98935437979339
travail,-28.951134237418202
ve,-25.83895540016665
vivr,-22.603758960576243
fac,-25.008485461228172
probl,-26.453017171394595
travaill,-23.303472854271494
emmanuel,-26.386518716394175
permettr,-22.5226980114875
che,-4.418766133632899
menteur,-33.37124659100505
ne,-29.91222424493058
pleuvoir,-28.97081149267371
bla,-5.096574240241714
typ,-28.576231605272216
port,-29.420049882509392
occup,-21.665989822769443
voil,-36.353156395148346
milliard,-23.149750460673285
test,-21.703187731393864
lieu,-23.070229029769276
loin,-27.999185365096636
tour,-31.276344117875677
mon,-27.279024655098283
effet,-19.914725614227184
clown,-3.1559854528506484
bilan,-27.88237693539319
id,-32.080453004671995
forc,-25.648246090188653
ten,-31.316377929895022
no,-18.18952376282953
social,-29.574485903406597
poutin,-6.401838837871632
pir,-21.491966327235236
compl,-25.337093471046675
oblig,-22.205986156636996
question,-27.147277970534446
cultur,-28.016333800459126
solut,-19.97343132024671
ue,-23.846439389691863
connaîtr,-31.02583766489084
appel,-28.639568900339818
masqu,-29.516102867600345
cour,-28.576837351383965
augment,-21.608382822615255
compr,-25.468456096691746
jou,-40.26083615465879
plein,-36.75079543173598
trait,-23.920391507519437
licorn,-27.2493453786572
etc,-32.04189464012972
parol,-32.76088715215907
solidar,-16.403830079233582
femm,-30.06126475993154
chiffr,-25.408389519371966
rappel,-22.856664714408403
grav,-20.59082148054387
aut,-19.529853523228788
th,-25.943978179031294
conseil,-6.4301000997256805
quinquennat,-6.804711060458789
pouc,1.926600856620228
bonjour,-27.65386363784604
fort,-24.438925571745976
paix,-25.151866170019485
conner,-29.305227713059534
candidat,-31.796209020860502
jusqu,-24.234319032352637
mandat,-27.590008237593246
popul,-24.03124447935668
ami,-18.77496493362706
train,-23.250527060300207
omicron,-19.389442507475582
jean,-17.9246791688331
ration,-31.830757914208018
gar,-16.202556540115605
ge,-28.25217631183804
niveau,-21.32578737039043
qui,-31.257318003332525
vent,-28.055838093158137
cherch,-25.674845359677477
post,-17.000183212017827
ger,-22.114085667009988
faux,-24.18015806104078
ministr,-26.570924695614483
mesur,-27.49075691564265
exist,-29.111043980279934
clin,-9.079099944410123
dev,-37.729487515351316
sidentiel,-17.443319331002677
trang,-31.180719845406806
tait,-24.268684117715875
chaqu,-31.043167282974768
cul,-4.758442662729536
vif,-29.198380166049482
lit,-31.768231770090036
lev,-27.057819320673975
mondial,-13.326742270008838
alit,-22.660538216205698
mauv,-30.99260835745254
danger,-28.657666353395626
montr,-16.504669163100207
emp,-18.308158814291858
but,-23.27767941250948
genr,0.0
fonction,-34.17714289708758
refus,-19.97371891320891
sup,-34.13711606890767
am,-20.7632296644069
dur,-30.035926621869027
beau,-34.66576926392818
fil,-30.409359494313744
pital,-24.23071092796077
prix,-29.678607356646552
accord,-23.71971749325761
vendr,-25.450021397346784
ridicul,-20.36659994104274
exp,-14.752725575849762
clownvisag,1.1690521633783966
repr,-27.485925667840377
possibl,-32.62438200659022
co,-25.845196204500827
enti,-23.421215234719853
plan,-28.03899415828691
lectoral,-32.38247585946955
air,-27.869322914163284
pourt,-37.33758185107085
rich,-11.454780306327583
moi,-31.327440504440787
imaginair,-20.90673564728403
tir,-16.35647253506045
contrair,-38.94877990678048
etat,-35.39884416408062
entendr,-28.900409176327408
dictatur,-39.17553812950186
dictateur,-38.572337409167595
manipul,-33.67883720681452
enfin,-43.11300213934001
alg,-14.602337922739231
gard,-30.206773145967066
moir,-34.0224726942779
sauf,-25.751813477832894
contamin,-22.896067893263915
gim,-25.032940584700746
boudeur,-9.332034947081532
yeux,-7.263044639133561
partag,-14.616117166228223
impos,-28.66006111311618
ben,-18.30526404182716
zemmour,-34.941904292800416
ok,0.0
puis,-37.17067283449167
com,-27.72736192909759
dehor,-25.405653020862502
interdir,-21.47615852905892
di,-12.699484800032394
jug,-25.544853218410267
exempl,-34.48377439838606
africain,-25.752513773193403
crim,-25.141181437441663
tud,-27.597740123411167
svp,-36.11489995846131
imp,-20.26385427530405
meilleur,-31.45535210631998
terr,-28.425279962760897
manqu,-30.30035066317981
ru,-31.163488630752504
soc,-16.821366045577278
propos,-29.45124506542113
dan,-31.963724054176165
envi,-39.299646711609604
touch,-30.316873571445292
prochain,-21.395823557109328
apprent,-32.131016811245985
expliqu,-31.14160547384553
decin,-29.96323128989956
tomb,-35.52096624252365
gagn,-32.73631125097616
oubl,-35.94170907981877
simpl,-34.16046066279913
pand,-17.785276227937963
total,-31.971863271323656
nation,-31.978350104896943
messag,-27.542549711329237
lib,-12.353770997954728
fl,-4.581624742366576
univers,-26.868031099702606
rement,-18.854518305409623
cass,-20.160791679367822
fol,-31.414834456926634
pied,-19.7863080309512
ailleur,-32.341361132992965
mission,-30.350001532580823
livr,-29.092594577934708
premi,-26.999998889955858
supprim,-25.008202279764895
humain,-25.756317256635047
action,-36.716521623900434
annonc,-11.648430356437173
chef,-39.26900729404705
bout,-31.41992317501963
programm,-16.349160864831724
agir,-29.812264140605755
truc,0.0
sultat,-26.104575123853138
milli,-24.846322225782984
mour,-27.213092849973016
ou,-19.061097964499094
nom,-24.347589864535575
euro,-31.022688925410193
prof,-21.485005557863914
emmerdeur,-30.79996797161769
psychopath,-39.168344203870944
hautpouc,1.6984477048648032
projet,-26.60320094723281
heureux,-34.61286940539116
fa,-18.75815311574133
assez,-31.82109918493261
victim,-26.613828001695882
roug,-10.065090076745337
pid,-3.7952987054928324
coeur,-9.305988250884772
rieur,-22.1699188256417
souverainet,-34.60659260417004
libr,-28.247560782252076
propr,-23.742114480821318
tard,-20.10102794550808
souhait,-24.333891912185347
human,-25.07353864170287
nombr,-34.88346483471059
son,-37.017327992283306
cess,-28.781094957125696
commun,-28.33207372310927
essai,-30.9776527916394
apprendr,-26.999783547483663
ouvr,-27.715620568536327
d,-32.409712076297936
sal,-31.93410656025908
marr,-19.696324933291265
salair,-28.162621916638304
priv,-31.337573059609195
ral,-28.360477093799986
ici,-31.62112382419109
scientif,-16.840440891036728
truit,-26.721219456010267
vir,-30.220597324695987
risqu,-27.657213772993373
propagand,-36.022130285195274
autoritair,-24.924735415138443
sujet,-31.255854887904903
posit,-30.353715209286324
erasmus,-31.084507929268327
futur,-29.679275757391814
pondr,-31.394292645579142
